project,job_no,address,permit,contractor,phone,manager
Boeing - Tool #TMR131265 2FME144W000,17-0718,"Bldg. 40-37 Col C11, Everett",,Boeing Everett Tool Depart,(425) 210-5506,Walter
Boeing - Tool #TMR131381 MIT112T3000,17-0783,"Bldg. 40-22, Everett",,Boeing Everett Tool Depart,(425) 210-9961,Walter
Boeing - Tool #TMR131806 FAJ152W3000,18-0110,"Bldg. 50-53, Col. 6.5, Everett",,Boeing Everett Tool Depart,(425)760-1084,Walter
Boeing - Tool #TMR131847 31ME140W000,17-0872,"Bldg. 40-25, Everett",,Boeing Everett Tool Depart,(425) 791-4867,Walter
Boeing - Tool #TMR132540 2FME115W200,18-0121,"Bldg. 40-02 Column A3, Everett",,Boeing Everett Tool Depart,(425) 387-3232,Walter
Boeing - Tool #TMR132573 11ME110W166,18-0137,"Bldg. 40-35 L 11.5, Everett",,Boeing Everett Tool Depart,(425) 791-4867,Walter
Boeing - Tool #TMR132581 FME332W2000,18-0133,"Bldg. 40-54.1 Line C1.3 Door S-6, Everett",,Boeing Everett Tool Depart,(425) 870-3225,Walter
Boeing - Tool #TMR132666 FME180W0100,18-0240,"Bldg. 40-37, Col B12.5, Everett",,Boeing Everett Tool Depart,(425) 212-7018,Walter
Boeing - Tool #TMR132724 PME284W7001-,18-0166,"Bldg. 40-53 Column F8.5, Everett",,Boeing Everett Tool Depart,(425) 309-1989,Walter
Boeing - Tool #TMR132762 PME284W7001-,18-0177,"Bldg. 40-53 Column F8.5, Everett",,Boeing Everett Tool Depart,(425) 309-1989,Walter
Boeing - Tool #TMR132764 PME284W7002-,18-0182,"Bldg. 40-53 Col F8.5, Everett",,Boeing Everett Tool Depart,(425) 309-1989,Walter
Boeing - Tool #TMR132778 PME284W7003-,18-0188,"Bldg. 40-53, Col F8-5, Everett",,Boeing Everett Tool Depart,(425) 309-1989,Walter
Boeing - Tool #TMR132779 PME284W7003-,18-0192,"Bldg. 40-53, Col F8.5, Everett",,Boeing Everett Tool Depart,(425) 309-1989,Walter
Boeing - Tool #TMR132784 3FME332W200,18-0190,"Bldg. 40-54, Door S-6, Everett",,Boeing Everett Tool Depart,(425) 870-3225,Walter
Boeing - Tool #TMR132786 4FME332W200,18-0187,"Bldg. 40-54, Door S-6, Everett",,Boeing Everett Tool Depart,(425) 870-3225,Walter
Boeing - Tool #TMR132877 FME110W3200-,18-0225,"Bldg. 40-37 Col B12.5, Everett",,Boeing Everett Tool Depart,(425) 791-4867,Walter
Boeing - Tool #TMR132880 FME110W3200-,18-0224,"Bldg. 40-37 Column B12.5, Everett",,Boeing Everett Tool Depart,(425) 791-4867,Walter
Bordeaux Apartments,18-0140,"16520 North Road, Bothell",,"Oak Homes, Inc.",(206) 948-9542,Jeff
BPA Snohomish & Beverly Substation Park,18-0457,"914 Avenue D, Snohomish",,High Country Line Constructi,(509) 760-4436,Jeff
Bradley Residence,17-0292,"9841 51st Avenue SW, Seattle",6519461,Johnson Brothers Constructi,(206) 510-7910,Jeff
Brasch Residence Moment Frame,18-0077,"8035 42nd Avenue NE, Seattle",6582934,Johnson-Lyric Construction,(206) 227-4565,Jeff
Brennan Residence,17-0918,"3920 Boyd Place SW, Seattle",6517058,"Denali Builders, LLC",(509) 781-0658,Jeff
Brooks Retail,18-0183,"24110 Bothell Everett Hwy, Bothell",BNR2017-17450,"DP, Inc.",(206) 423-7801,Jeff
Browns Point Elementary School,17-0850,"1526 51st Street NE, Tacoma",see below,Skanska USA Commercial,(206) 418-9660,Walter
Bryant Heights at Ravenna,15-0369,"3300 NE 65th Street, Seattle",6374770/6416569,Polygon Northwest,425-766-4572,Walter
Burbank View 1,18-0159,"8151 SE 24th Street, Mercer Island",1612-119,"John Day Homes, Inc.",(425) 531-0184,Jeff
Burbank View 2,18-0441,"8157 SE 24th Street, Mercer Island",1703-116,"John Day Homes, Inc.",(425) 531-0184,Isaac
Butterworth Building,17-0257,"1921 1st Avenue, Seattle",6502718,"Charter Construction, Inc.",(206) 841-6675,Jeff
Cabot Kent Upland Corporate Park,18-0248,"22647 72nd Ave So., Kent 98032",197794,Schuchart Corporation,(206) 769-8968,Jeff
Cambridge Apartments Renovation,16-0933,"903 Union Street, Seattle",6495645,"Rafn Company, Inc.",(206) 510-2934,Walter
Capen-Davis Residence,18-0231,"2537 37th Avenue West, Seattle",6581940,Joseph McKinstry Constructi,(206) 406-9404,Isaac
Carter VW,17-0467,"5204 Leary Avenue NW, Seattle",6517897,"R Miller, Inc.",(206) 459-0650,Isaac
Cascadia Flats,17-0787,"1141 N 91st Street, Seattle",6558799,Turnkey Builders,(206)353-1361,Isaac
Cedar Crest Building C,18-0373,"9523 NE 180th Street, Bothell",BMF2017-15448,"Charter Construction, Inc.",(206) 573-0770,Jeff
Cedar Falls Administration Building,17-0311,"19901 Cedar Falls Road SE, North Bend",COMM16-0004,"Pease & Sons, Inc.",(206) 727-8749,Walter
Cedar Falls Radio Tower,17-0311a,"19901 Cedar Falls Road SE, North Bend",,"Pease & Sons, Inc.",(206) 727-8749,Walter
Cedar Park North,18-0311,"919 221st Place SE, Bothell",BMF2018-18561,"RM Homes, LLC",(425) 336-9366,Isaac
Cedar Park South,18-0243,"919 221st Street SE, Bothell",BMF2017-17786,"RM Homes, LLC",(425) 336-9366,Isaac
Cedar River Terrace Apartments,18-0168,"51 Burnett Avenue South, Renton",,Walsh Construction Compa,206.459.2792,Walter
Cedardale Apartments,18-0261,"2501 SW 336th Street, Federal Way",17-104805-00-CO,Deacon Construction,(425) 247-6658,Isaac
Central Island Short Plat,18-0324,"3413 NE 7th Street, Renton",(they will call with t,Central Island,(425) 829-7317,Walter
Certainteed Partial Re-Roof Project,17-0488,"5931 East Marginal Way South, Seattle",6598161,Centimark Roof Systems,(253) 320-8169,Walter
CGI - Honeywell,18-0221,"15001 NE 36th Street Bldg 3, Redmond",BLDG-2017-0774,"Rainier Industries, Ltd.",(206) 335-3622,Isaac
Chainqui Urban Green Villa - Structural,17-0094a,"2401 3rd Avenue, Seattle",6505691,JTM Construction,(206) 445-5395,Jeff
Chan Residence (Michael),17-0742,"5455 Pleasure Point Lane SE, Bellevue",15-116614 BS,"Chan, Michael",(206) 650-7410,Isaac
CHC Everett - HBI860147,17-0781,", Everett",,,,Jeff
Cherry Hill Residence**,18-0241,"9713 NE 13th Street, Clyde Hill",BLD2016-125,"Barcelo Homes, Inc.",(253) 335-0146,Isaac
Christianson Seismic Retrofit,18-0321,"15625 Maplewild Avenue SW, Burien",BLD-18-0892,"A-FFIX, LLC - RETAINER R",(206) 227-4869,Isaac
City & County of San Francisco 2018,18-0036,"5200 Airport Way South, Seattle",,"Olympic Foundry, Inc.",(206) 764-1200,Walter
Clawson Laster Residence,18-0448,"1512 32nd Avenue South, Seattle",6615867,"McDowell NW Pile King, Inc.",(206) 510-4218,Isaac
Cle Elum Dam Fish Passage Facility Juvenil,17-0276,"1253 Lake Cle Elum Dam Road, Ronald",,Condon-Johnson & Associat,(206) 793-4538,Anthony
Colman Building,17-0168,"401 East Pine Street, Seattle",6565921,"Crossgrain Construction, LL",(206) 939-7596,Isaac
Colman Dock Project,18-0022,"801 Alaskan Way S, Seattle",not applicable,"Pacific Pile & Marine, LP",(206) 459-5998,Isaac
Comstock,16-0692,"210 W. Comstock Street, Seattle",6354219,"Barcelo Homes, Inc.",(253) 394-6587,Jeff
Connell Residence,18-0136,"4214 28th Pl W, Seattle",6639813,"Hansen & LeRoy, LLC",(206) 200-3122,Isaac
Cote Whissell Residence,18-0313,"3520 31st Avenue W., Seattle",6586808,,,Isaac
Cottage on the Cove,17-0833,"6 Front St NE, Coupeville",,Excavators Northwest,,Anthony
Coursen Residence Floating Home,18-0189,"1214 East Hamlin Street #9, Seattle",6590151,Dan Kipperberg Constructio,425-345-5636,Isaac
Covington Water District C4 Tap & Transmis,18-0119,"SE 300th and 188th SE, Covington",,"McKinstry Company, LLC",(206) 446-8165,Jeff
Crest Development,18-0285,"29517 176th Avenue SE, Covington",B07L0300,Pinnacle Peak Construction,(206) 510-3353,Jeff
Crossroads Village - All Buildings,17-0048,"15751 NE 15th Street (sales ofc), Bellevue",,Polygon Northwest,,Walter
Crossroads Village - Bldg. 01,17-0048v,"15813 NE 15th Street, Bellevue",16-134223BB,Polygon Northwest,,Walter
Crossroads Village - Bldg. 05,17-0048w,"1453 159th Pl NE, Bellevue",16-134221BB,Polygon Northwest,,Walter
Crossroads Village - Bldg. 06,17-0048q,"1444 159th Place NE, Bellevue",16-134222BB,Polygon Northwest,,Walter
Crossroads Village - Bldg. 07,17-0048u,"15899 NE 14th Road, Bellevue",16-134166BB,Polygon Northwest,(425) 229-4574,Walter
Crossroads Village - Bldg. 08,17-0048p,"15785 NE 14th, Bellevue",16-134169,Polygon Northwest,(253) 341-7408,Walter
Crossroads Village - Bldg. 09,17-0048r,"1424 158th PL NE, Bellevue",16 134171BB,Polygon Northwest,(253) 341-7408,Walter
Crossroads Village - Bldg. 10,17-0048s,"1434 158th CT NE, Bellevue",16 134170BB,Polygon Northwest,(253) 341-7408,Walter
Crossroads Village - Bldg. 11,18-0336a,"1484 158th CT NE, Bellevue",16-134224BB,Polygon Northwest,(253) 341-7408,Walter
Crossroads Village - Bldg. 13,17-0048i,"1403 158th Place NE, Bellevue",,Polygon Northwest,(253) 341-7408,Walter
Crossroads Village - Bldg. 14,17-0048j,"1423 158th Place NE, Bellevue",16-129243BB,Polygon Northwest,(253) 341-7408,Walter
Crossroads Village - Bldg. 15,17-0048d,"1490 157th Ct NE, Bellevue",,Polygon Northwest,,Walter
Crossroads Village - Bldg. 16,17-0048a,"15751 NE 14th Street, Bellevue",16-129200,Polygon Northwest,,Walter
Crossroads Village - Bldg. 18,17-0048n,"15785 NE 14th RTE, Bellevue",16-134161,Polygon Northwest,(425) 229-4574,Walter
Crossroads Village - Bldg. 19,17-0048o,"15775 NE 14th RTE, Bellevue",16-134162,Polygon Northwest,(425) 229-4574,Walter
Crossroads Village - Bldg. 20,17-0048l,"15742 NE 14th ALY, Bellevue",16-130946BB,Polygon Northwest,,Walter
Crossroads Village - Bldg. 21,17-0048m,"15764 NE 14th ALY, Bellevue",16-134163,Polygon Northwest,(425) 229-4574,Walter
Crossroads Village - Bldg. 22,17-0048k,"15775 NE 14th Alley, Bellevue",16-130947BB,Polygon Northwest,,Walter
Crossroads Village - Bldg. 23,17-0048g,"15735 NE 14th, Bellevue",16-129201BB,Polygon Northwest,,Walter
Crossroads Village - Bldg. 24,17-0048h,"15794 14th Terrace, Bellevue",16-130948-BB,Polygon Northwest,,Walter
Crossroads Village - Bldg. 25,17-0048e,"15722 NE Terrace, Bellevue",16-129208BB,Polygon Northwest,,Walter
Crossroads Village - Bldg. 26,17-0048b,"15725 NE 14th Street, Bellevue",16-12909-BB,Polygon Northwest,,Walter
Crossroads Village - Bldg. 27,17-0048c,"15725 NE 14th Street, Bellevue",16-129210-BB,Polygon Northwest,,Walter
Crossroads Village - Bldg. 28,17-0048f,"1414 157th Place NE*, Bellevue",16 129211 BB,Polygon Northwest,,Walter
Crossroads Village - Fire Lane,17-0048t,"Various, Bellevue",16 122255FN,Polygon Northwest,(253) 341-7408,Walter
Crossroads Village - Park Interface,18-0336b,"15751 NE 15th Street, Bellevue",16-102816GB,Polygon Northwest,425-791-5395,Walter
Crown Hill Apartments,18-0216,"8509 14th Avenue NW, Seattle",6509441,Green Build Homes,(425) 359-5805,Isaac
Danilet Apartments (NCLA),18-0268,"1419 183rd Street SE, Bothell",,"ODI, LLC",(206) 383-7878,Jeff
Das-Goorha Residence,17-0900,"22025 NE 150th Street, Woodinville",ADDC17-0548,"Gregerson Custom Homes,",(425) 691-0042,Isaac
Dayton Duplex,17-0972,"423 N 47th Street, Seattle",6506266,"Top Floor Homes, LLC",(206) 683-9791,Isaac
DCI,18-0108,"19717 62nd Avenue S, Suite #101, Kent",,"Foushee and Associates, In",(425) 941-7348,Jeff
Dearth Residence,18-0458,"1934 11th Avenue West, Seattle",6531138,Bender Custom Constructio,(425) 829-8445,Isaac
Delridge Way SW Townhomes,18-0037,"4534 Delridge Way SW, Seattle",,,,Scott
Department of Social and Health Services,18-0111,"981 Powell Avenue SW, Renton",B17004904,"DP, Inc.",(425) 220-4080,Isaac
DeYoung Park Improvements,18-0368,"13680 NE 175th Street, Woodinville",PW 17-0233,Accord Contractors,,Isaac
Dillano's Tenant Improvement,18-0059,"1620 45th Street E, Sumner",BLD2017-0288,Auburn Commercial Develo,(253) 261-8832,Walter
Discount Tire (Yakima),18-0103,"1833 1st Street, Yakima",N/A,Steve Julius Construction,949-400-2694,Anthony
Dockside Leary Way,17-0930,"4601 Leary Way NW, Seattle",6542076,Bennion Construction,(206) 399-8289,Isaac
Dolarshop Restaurant - Bravern,18-0058,"11020 NE 6th Street, Bellevue",17-116228BZ,"Tim Construction, LLC",(425) 999-7979,Walter
Donelson Residence,17-0989,"354 W Lake Sammamish Pkwy NE, Bellevue",BL 17118406,Sockeye Homes,(253) 376-0906,Jeff
Dong Residence,17-0835,"4225 West Mercer Way, Mercer Island",,,,Scott
E320 Sound Transit - HBI860140,17-0716,"1500 112th Avenue SE, Bellevue",,"Hayward Baker, Inc.",(206) 612-7196,Jeff
East Bay Harbour,18-0361,"912 East Bay Drive, Olympia",,"McLeod Construction, LLC",,Isaac
East Link Light Rail I-90 Segment (E130),16-0860,"2510 77th Avenue SE* (MI Station), Mercer Isla",,Kiewit-Hoffman East Link C,206-549-5289,Jeff
East Link Light Rail Project (E360 Segment),17-0274,"Near SR 520 at NE 20th St. to OTC Station, Bel",,,,Walter
Eastgate Plaza,18-0157,"15100 SE 38th Street, Bellevue",17 126433 BV,"Clearcreek Contractors, Inc.",(206) 551-7513,Walter
Eclipse Townhomes - All Buildings,16-0804,"3300 Eclipse Mill Road, Everett",SEE NOTES,,,Walter
Eclipse Townhomes - Bldg. 01,16-0804d,"3302 31st Drive, Everett",C1606-069 thru 07,Polygon Northwest,(425) 891-2727,Walter
Eclipse Townhomes - Bldg. 02,16-0804f,"3301 31st Drive, Everett",C1604-020 thru 02,Polygon Northwest,(425) 891-2727,Walter
Eclipse Townhomes - Bldg. 03,16-0804g,"3313 to 3323 31st Drive, Everett",C1604-026 to 31,Polygon Northwest,(425) 891-2727,Walter
Eclipse Townhomes - Bldg. 04,16-0804i,"3325 to 3335 31st Drive, Everett",C1604-032 to 37,Polygon Northwest,(425) 891-2727,Walter
Eclipse Townhomes - Bldg. 05,16-0804h,"3337 to 3345 31st Drive, Everett",C1603-026 to 30,Polygon Northwest,(425) 891-2727,Walter
Eclipse Townhomes - Bldg. 06,16-0804e,"3322 31st Drive, Everett",C1604-068 thru 07,Polygon Northwest,(425) 891-2727,Walter
Eclipse Townhomes - Bldg. 07,16-0804j,"3336 to 3346 31st Drive, Everett",C1604-074 thru 07,Polygon Northwest,(425) 891-2727,Walter
Eclipse Townhomes - Bldg. 08,16-0804k,"3347 to 3355 31st Drive, Everett",C1603-031 to 035,Polygon Northwest,(425) 891-2727,Walter
Eclipse Townhomes - Bldg. 09,16-0804l,"3401 31st Drive, Everett",C1603-036 thru 04,Polygon Northwest,(425) 891-2727,Walter
Eclipse Townhomes - Bldg. 10,16-0804m,"3350 31st Drive, Everett",C1604-080 thru 08,Polygon Northwest,(425) 891-2727,Walter
Eclipse Townhomes - Bldg. 11,16-0804y,"3411 31st Drive, Everett",C1604-038,Polygon Northwest,,Walter
Eclipse Townhomes - Bldg. 12,16-0804x,"3423 31st Dr., Everett",,Polygon Northwest,,Walter
Eclipse Townhomes - Bldg. 13,16-0804t,"3412 31st Dr., Everett",1604-086 to 092,Polygon Northwest,(425) 891-2727,Walter
Eclipse Townhomes - Bldg. 14,16-0804w,"3458 31st Drive, Everett",C1604-092 thru 09,Polygon Northwest,(425) 328-5811,Walter
Eclipse Townhomes - Bldg. 15,18-0287d,"3435 31st Drive, Everett",C1604-050 thru 05,Polygon Northwest,(425) 891-2727,Walter
Eclipse Townhomes - Bldg. 18,16-0804a,"3300 Eclipse Mill Rd (3458 31st Drive), Everett",C1602-016 thru 01,Polygon Northwest,(425) 891-2727,Walter
Eclipse Townhomes - Bldg. 19,16-0804b,"3511 31st Drive, Everett",C1602-020 thru 02,Polygon Northwest,(425) 891-2727,Walter
Eclipse Townhomes - Bldg. 20,16-0804c,"3300 Eclipse Mill Road, Everett",C1604-098 thru 10,Polygon Northwest,(425) 891-2727,Walter
Eclipse Townhomes - Bldg. 21,16-0804u,"3339 30th Drive, Everett",C1604-104 thru 10,Polygon Northwest,(425) 891-2727,Walter
Eclipse Townhomes - Bldg. 22,16-0804n,"3405 30th Drive, Everett",C1604-112 thru 11,Polygon Northwest,(425) 891-2727,Walter
Eclipse Townhomes - Bldg. 23,16-0804o,"3410 30th Drive, Everett",C1603-050 thru 05,Polygon Northwest,(425) 891-2727,Walter
Eclipse Townhomes - Bldg. 24,16-0804r,"3409-3419 30th Drive, Everett",C1604-118 thru 12,Polygon Northwest,(425) 891-2727,Walter
Eclipse Townhomes - Bldg. 25,16-0804p,"3414 to 3420 30th Drive, Everett",C1604-056 to C16,Polygon Northwest,(425) 377-9262,Walter
Eclipse Townhomes - Bldg. 26,16-0804s,"3423-3435 30th Drive, Everett",C1606-076 thru 08,Polygon Northwest,(425) 891-2727,Walter
Eclipse Townhomes - Bldg. 27,16-0804q,"3011 34th Place, Everett",C1606-097 thru 10,Polygon Northwest,(425) 891-2727,Walter
Eclipse Townhomes - Bldg. 28,16-0804v,"3002-3012 34th Place, Everett",C1606-102 thru 10,Polygon Northwest,(425) 891-2727,Walter
Eclipse Townhomes - Bldg. 29,18-0287c,"3439 - 3451 30th Drive, Everett",C1606-083 to 089,Polygon Northwest,(425) 891-2727,Walter
Eclipse Townhomes - Bldg. 31,16-0804z,"3001 35th Street, Everett",C1604-062 thru 06,Polygon Northwest,(425) 891-2727,Walter
Eclipse Townhomes - Bldg. 32,18-0287b,"3208 30th Avenue, Everett",C1606-108 thru 11,Polygon Northwest,(425) 891-2727,Walter
Eclipse Townhomes - Bldg. 33,18-0287a,"3008 35th St, Everett",C1606-115 to 118,Polygon Northwest,(425) 891-2727,Walter
Ederer Residence,18-0374,"4620 South Bradford Street, Seattle",6549984,"Underwood Fine Carpentry,",206-437-1839,Isaac
Edgewater Inn,14-0872,"2411 Alaskan Way, Seattle",6282145,"Stillwater Marine, Inc.",(206) 450-3225,Walter
Edgewood Veterinary Clinic,17-0875,"1311 Meridian Ave. E, Edgewood",,,,Scott
Escala Condominium Building,17-0663,"1920 4th Avenue, Seattle",6573576,,(206) 228-0158,Walter
Eskridge Phase II,18-0160,"2210 89th Ave NE, Clyde Hill",BLD 2018-0008,STS Construction Services,(206) 854-9082,Isaac
Evans Residence,18-0129,"2155 6th Avenue North, Seattle",6491441,"cMac, Inc.",(206) 719-4727,Walter
Excellence Health and Fitness (2015),15-0601,"4100 Aurora Avenue North, Seattle",6407437,"Promondo, LLC",(206) 859-1026,Jeff
Exeter Residence,18-0028,"10522 Exeter Ave NE, Seattle",6564782,"Raincap Construction, Inc.",(206) 661-5737,Isaac
Expo Apartment - SIR,18-0139,"118 Republican Street, Seattle",,Westlake Consulting Group,(509) 378-9936,Jeff
Exterior Façade Upgrades,17-0881,"83 S. King Street, Seattle",6605284,Pioneer Masonry Restoratio,,Jeff
Fanning Residence,18-0316,"901 1st Street, Kirkland",BSF17-05299,JC Enterprises Construction,425-442-0332,Isaac
Federal Way Holiday Inn Express,18-0274,"34413 Pacific Highway South, Federal Way",,"Henderson Partners, LLC",(253)279-7597,Jeff
Feola,18-0418,"18228 25th Drive SE, Bothell",,"Charter Construction, Inc.",(541) 861-8422,Isaac
Fire Station #31,17-0566,"1319 North Northgate Way, Seattle",6532063,Reynolds General Contracti,(206) 707-5877,Walter
Fire Station #5,18-0051,"925 Alaskan Way, Seattle",6585297,American Construction,(408) 896-6051,Walter
Fishman Condos - SIR,18-0193,"2821 2nd Avenue, Seattle",,,(206) 551-9695,Walter
Fitness Center,18-0226,"3295 SW Avalon Way, Seattle",6519898,"WR Hanson, Inc.",(206) 719-1217,Walter
Flacco Residence,18-0280,"1710 36th Ave, Seattle",6530494,P.H. Robison Construction,(206) 601-4855,Isaac
Floor and Décor,18-0410,"1502 SE Everett Mall Way, Everett",B1801-024,"DLP Construction, Inc.",,Isaac
Fort Vancouver High School Fields,18-0342,"5700 East 18th Street, Vancouver",,Ohno Construction,,Isaac
Fosseen Residence,18-0363,"7417 West Mercer Way, Mercer Island",1711-230,"March-MacDonald, Inc.",(206) 793-1048,Walter
FRA Stack Foundations,18-0318,"13085 Ball Rd, Mount Vernon",,,360-815-6119/360,Jeff
Fremont Village Square Expansion,18-0149,"3601 Fremont Avenue North, Seattle",6588432,MRJ Constructors,(206) 719-9006,Walter
Furukawa Residence,17-0808,"400 39th Avenue East, Seattle",6573736,"McKinney Group, Inc.",(206) 498-7699,Isaac
Garden Townhomes,16-0843,"928 13th Avenue, Seattle",6437264,,(206) 245-9929,Walter
Gas Works Park Play Area Renovation,18-0009,"1801 N. Northlake Way, Seattle",6565763,,(206) 510-1031,Walter
Gbadegesin Residence,18-0127,"1625 207th Ave NE, Sammamish",BLD2017-03238,"JAS Design-Build, Inc.",(206) 240-5680,Isaac
Gearhart Residence,18-0375,"3727 80th Avenue SE, Mercer Island",1706-023,Cole Building Company,(425) 290-2409,Isaac
Gemenskap Park,18-0047,"14th Ave NW (between 59th and 61st), Seattle",,"Jansen, Inc.",(360) 319-0091,Walter
Gensco New Bldg - HVAC,16-0478a,"5917 4th Avenue South, Seattle",6551884,"Donovan Brothers, Inc.",(206) 354-6326,Walter
Georgetown Center,18-0146,"5959 Corson Avenue South, Seattle",6587205,JMS Construction,(206) 755-6332,Jeff
Georgetown Inn,18-0249,"6100 Corson Avenue, Seattle",6639895,"Rainier Industries, Ltd.",206-335-3622,Walter
Gilbert Residence,18-0395,"8911 NE 19th Street, Clyde Hill",BLD2017-0155,"GHSF, LLC",(425) 417-0053,Isaac
Goldberg Residence,18-0310,"6535 NE Windermere RD, Seattle",6602677,"Summit Development, LLC",(206) 617-8080,Isaac
Goloborodko Residence,18-0124,"728 177th Lane NE, Bellevue",,,(805) 708-9965,Scott
Gordito's Restaurant,16-0396,"213 N 85th Street, Seattle",6526552,Interstate Restoration,(425) 343-7636,Jeff
Gordito's Restaurant Exit Stairs,18-0257,"213 N 85th Street, Seattle",6534789,Interstate Restoration,(425) 343-7636,Jeff
Gordon Neimi Residence,18-0315,"2327 12th Avenue South, Seattle",6619238,McBride Construction Resou,(206) 573-0613,Isaac
Graham Square Vehicle Impact,18-0089,"22218 Meridian Ave E (aka 10133 224th St E),",871053,"Enriched Designs, Inc.",(206) 459-1145,Walter
Graham Street Retail,17-0911,"3828 South Graham Street, Seattle",6111278,cMAC & Macfarlane Homes,(206) 719-4727,Walter
Grainger - Tukwila (High Rise Bin Shelving),18-0219,"6725 South Todd Blvd, Tukwila",D18-0019 **,Wynright Corporation,(626) 257-0154,Jeff
Grainger Seattle Relocation,18-0005,"6141 4th Avenue S, Seattle",6596278,"LBD, Inc.",(509) 910-2654,Jeff
Grandinetti Residence,17-0810,"2328 Delmar Drive E, Seattle",6432415,Ambrose Construction,(361) 331-1302,Isaac
Grass Lawn,17-0476,"6836 141st Court NE, Redmond",BLDG2017-00032,"Milestone Northwest, LLC",(425) 503-9302,Jeff
Graves Residence - Retaining Wall Repair,17-0529,"8027 Sunnyside Avenue North, Seattle",,,,Anthony
Green Dot Seattle Middle School,17-0674,"6020 Rainier Avenue South, Seattle",6566769,"Kirtley-Cole Associates, LLC",(425) 231-6694,Walter
Green Lake Library Elevator Modernization,18-0345,"7364 E Green Lake Drive North, Seattle",,,(206) 224-3388,Jeff
Greenbelt Station,14-0222,"4204 S Trenton St, Seattle",6412873,"Greenbelt Station, LLC",,Anthony
Greenlake Residence,18-0252,"2110 N 61st Street, Seattle",6581136,"Fitch, Corey",,Jeff
Ground Transportation Building Renovation,18-0463,"2809 South 160th Street, SeaTac",1810596 or BLD-P,"Colvos Construction, LLC",(425)879-9512,Isaac
GRSE RemodelGuppa,17-0956,"1255 Federal Ave E, Seattle",6594831,Hoxie Huggins Construction,(206) 861-3231,Isaac
Grunewald Residence,17-0619,"1796 Harrison Way NE, Issaquah",BLD16-00309,Roberts Group Custom Buil,(425) 420-7985,Isaac
Gupta Remodel,18-0443,"15219 NE 3rd Place, Bellevue",17116362,NW Professional Contractor,(206) 841-8460,Isaac
Hackman Remodel,18-0438,"435 Lake Washington Blvd E, Seattle",6428396,RM Built,,Walter
Hands On Brewery,18-0250,"7500 35th Ave SW, Seattle",6585810,"Neu Construction, Inc.",(253) 973-8716,Jeff
Harborview - 2EH Patient Lift Installation (M,17-0169a,"325 9th Avenue, Seattle",6503579,"M Brown Industries, LLC",,Anthony
Harborview - 6MB Patient Lift Installation,18-0082,"325 9th Avenue, Seattle",,,,Anthony
Harrison Condominiums,17-0472,"403 13th Avenue East, Seattle",6484992,"Brightwork Builders, LLC",(206) 650-5165,Isaac
Hartvigson,18-0254,"5530 60th Avenue NE, Seattle",6601726,"Seattle Custom Contractors,",(425) 218-0169,Anthony
Henderson Residence,18-0125,"2800 39th Avenue W, Seattle",6534264,Ambrose Construction,(206) 941-5770,Isaac
Heritage Bank,18-0115,"5801 Tacoma Mall Blvd, Tacoma",WO7-0150,"Wilcox Construction, Inc.",(206) 496-8229,Jeff
Heron Residence,13-0163,"10012 SW Dock Street, Vashon Island",,,,Anthony
Highland Apartments - Brick Shear Testing,18-0399,"931 11th Avenue East, Seattle",,,(206) 382-1227,Jeff
Highline Heritage Museum,17-0884,"819 SW 152nd, Burien",,Alliance Steel Fabrication,(206) 793-6644,Isaac
Highline S. 268th St. Water & Brightwood Pa,16-0456,"S. 268th St. & Brightwood Park, Normandy Par",ENG2016-044,"SCI Infrastructure, LLC",,Jeff
HighPoint Block 9 Townhomes - All Buildings,17-0645,"3000-3500 SW Graham Street, Seattle",,Polygon Northwest,(504) 298-8423,Walter
HighPoint Block 9 Townhomes - Bldg. 01,17-0645a,"3250 SW Graham Street, Seattle",6506776,Polygon Northwest,(504) 298-8423,Walter
HighPoint Block 9 Townhomes - Bldg. 02,17-0645b,"3300 SW Graham Street, Seattle",6528566,Polygon Northwest,(504) 298-8423,Walter
HighPoint Block 9 Townhomes - Bldg. 03,17-0645c,"3320 SW Graham Street, Seattle",6528566,Polygon Northwest,(504) 298-8423,Walter
HighPoint Block 9 Townhomes - Bldg. 04,17-0645d,"3260 SW Graham Street, Seattle",6506776,Polygon Northwest,(504) 298-8423,Walter
HighPoint Block 9 Townhomes - Bldg. 05,17-0645e,"3270 SW Graham Street, Seattle",6506776,Polygon Northwest,(504) 298-8423,Walter
HighPoint Block 9 Townhomes - Bldg. 06,17-0645f,"3280 SW Graham Street, Seattle",6528566,Polygon Northwest,(504) 298-8423,Walter
HighPoint Block 9 Townhomes - Bldg. 07,17-0645g,"3400 SW Graham Street, Seattle",6528566,Polygon Northwest,(504) 298-8423,Walter
HighPoint Block 9 Townhomes - Bldg. 08,17-0645h,"3410 SW Graham Street, Seattle",6506776,Polygon Northwest,(504) 298-8423,Walter
HighPoint Block 9 Townhomes - Bldg. 09,17-0645i,"3430 SW Graham Street, Seattle",6528566,Polygon Northwest,(504) 298-8423,Walter
HighPoint Block 9 Townhomes - Bldg. 10,17-0645j,"3420 SW Graham Street, Seattle",6506776,Polygon Northwest,(504) 298-8423,Walter
HighPoint Block 9 Townhomes - Bldg. 11,17-0645k,"3450 SW Graham Street, Seattle",6528566,Polygon Northwest,(504) 298-8423,Walter
Hive Roosevelt - Structural,17-0209a,"6717 Roosevelt Way NE, Seattle",6534447,WG Clark Construction Com,(206) 305-6154,Jeff
